building_id,cv,ac_24,ac_168,dominant_period,energy_ratio,spectral_entropy,baseload_ratio,peak_to_trough,ramp_steepness,trend_strength,seasonal_strength_24,seasonal_strength_168,weekend_weekday_ratio,dow_range,profile_consistency_mean,profile_consistency_std,interdaily_stability,intradaily_variability,stability,lumpiness,permutation_entropy,dfa_alpha,skewness,kurtosis,dynamic_range,flat_spot_frac,harmonic_ratio,n_spectral_peaks,annual_amplitude,ac_divergence,trend_shift,band24_traj_std,band24_traj_trend,level_traj_trend,halves_var_logratio,site,btype
Bear_assembly_Angel,0.3244159709153736,0.7953796316317588,0.6709084232868848,23.813953488372093,0.5290458518328598,0.5089204285637213,0.6798507618630706,1.9592948438484419,0.29729708049903836,0.534191503653848,0.6126909229834716,0.17682847533966872,0.8918489425842637,0.14995500398073808,0.8756926091972168,0.13900164321078007,0.3976641456916851,0.1288395297426937,0.26424092067197563,0.24340613120229587,0.7984988409893032,0.8059008044967979,0.16295407415517593,-0.5953251851960428,1.367339301105858,0.004223744292237443,0.08690575205140237,19.0,0.44628623920850125,0.18383956865624218,0.05476158251172475,0.12591602427454687,-0.04513768555996163,-0.1707968792916935,-0.2286586647047792,Bear,assembly
Bear_assembly_Beatrice,0.35261550122849133,0.5203250461878359,0.4099852368950146,23.813953488372093,0.2614819184891783,0.7142663025076152,0.8239738101233947,1.7407407407407407,0.2296650717703349,0.3439038370562353,0.27161504190467345,0.08535051022937612,0.9306111557312047,0.13854727981636106,0.48803221313266587,0.394392171325813,0.18571566620745325,0.2703205011251593,0.22009468124879247,0.16144440107390368,0.9531661426355597,0.7585490855302778,0.20132072258256814,-0.04343040093959338,1.0064418288445098,0.004223744292237443,0.2679846823727064,8.0,0.43141224047063426,0.1724448262918294,0.11093178381558919,0.14889038207058988,-0.4734851507554602,-0.2544171661969726,0.053847590817249456,Bear,assembly
Bear_assembly_Danial,0.23160697502867728,0.8770191799139319,0.7541996616230112,23.813953488372093,0.6992947318107863,0.3818082360155228,0.7704582998946696,1.7020147271921757,0.16066024253724265,0.5924360241716259,0.8181753650252002,0.17760278030916876,0.9979360408702257,0.07586957174768617,0.9528862601408618,0.053912180919704504,0.6247532660813021,0.09556835288055492,0.17122938696948717,0.061683473838518764,0.7340490063764562,0.6833158198385487,0.04134087724912894,-0.619576921406797,0.9311522579738929,0.004223744292237443,0.03830172677851602,15.0,0.2715237788209742,0.15682863885917442,0.09125361208252308,0.09200238232046698,0.12922760784003479,0.11637102328588077,-0.20811785615837558,Bear,assembly
Bear_assembly_Genia,0.3377241069383102,0.7781896205967124,0.7452607132969417,23.813953488372093,0.3003101544283661,0.6377274474443319,0.7662592397863915,2.094149448650368,0.6152367881760007,0.4250143794832131,0.4550763417040171,0.08512230718391,0.9215289364180447,0.12240523121709605,0.7215228459859108,0.20563041835556492,0.312288310430506,0.3052789278226242,0.26873900076048096,0.21980171877107588,0.8977334244569936,0.7143190731962779,1.5535805131039062,1.8142305481880863,1.1434011583300332,0.004223744292237443,0.8574209118110916,19.0,0.5242177062798864,0.09416659034187636,0.14410868686728742,0.12778884319740438,-0.054191096787433404,0.2649724677107009,0.6185593913386899,Bear,assembly
Bear_assembly_Harry,0.4418117694161835,0.5810992553921014,0.5678295954165972,23.813953488372093,0.23518169240562686,0.7328544847194005,0.7436893464600435,2.104971529249547,0.4618220953435433,0.24540378065416546,0.3435414720001333,0.09763938584828902,0.8879736595913151,0.17691480578317875,0.6085249847350093,0.2617800600321813,0.26645919354981973,0.3863915982692101,0.15830223889033676,0.2767578037290085,0.9435080785454831,0.6506565312789679,1.812060496225602,3.2292497143449017,1.501333182492841,0.004223744292237443,0.8727870461006535,12.0,0.4223312421960615,0.03137517307500326,0.04339414304243041,0.11671090503395527,-0.2929431982135099,-0.09102830389008673,0.01153460469356556,Bear,assembly
Bear_assembly_Jose,0.2920540073829408,0.8970525107991922,0.8956984146756303,23.813953488372093,0.7531660422748878,0.35266656062652413,0.6901345108140153,2.047765793528505,0.18152827180179076,0.5883880757218047,0.8627006154505497,0.3805605584694741,0.8686148343719906,0.15237317889916593,0.9649391365293144,0.03298609105995073,0.6703643843425866,0.10354916249669227,0.1466582420209817,0.11171623263728955,0.7474157410244604,0.5868348862175371,0.3804782585836385,-0.6773427230864169,1.0645430595990844,0.004223744292237443,0.047626415494595724,17.0,0.3339017929314707,0.053934953268018226,0.08857795293746383,0.06306669706265636,0.04610036822864631,0.11773885116626907,0.47292426288019895,Bear,assembly
Bear_assembly_Roxy,0.8165442572470712,0.5740490332319049,0.2972108012896689,170.66666666666666,0.1508307929369874,0.5789083682039197,1.0788091068301227,1.2325581395348837,0.14711033274956217,0.4706016432809135,0.037117309887549466,0.09334280678298434,1.161326223589175,0.36956153771102845,0.5238786880287486,0.4137375370069186,0.018763999034899163,0.04229046564715718,0.38826098546542553,0.5034358043467763,0.9120386431944142,0.9954690284458779,2.5150345093462656,6.244373910468173,2.3878745581019607,0.004223744292237443,0.1520869201136994,17.0,1.1241023039746403,0.26367491818531125,0.304128879873318,0.17515491629888907,-0.8629398423123912,0.4899268089642207,0.22008987578021247,Bear,assembly
Bear_assembly_Ruby,0.18432719921602345,0.8244028590774604,0.7420680957154883,23.813953488372093,0.26215102010333263,0.537658822965715,0.910873701156154,1.1906614785992218,0.05971022976730573,0.7763230478207012,0.4810109262721074,0.49362023974470604,0.873662845382162,0.16628422751248648,0.6672367618099673,0.4014599817063478,0.14469551934062902,0.07575602468178387,0.5182373748202048,0.0778336104005344,0.9168682096630307,0.9569486380257458,-0.027345229757426166,-0.1359070683493493,0.7919287251077723,0.004223744292237443,0.1824456651259999,14.0,0.3948102900239059,0.14757425924465606,0.09618782670966239,0.12493191669610522,-0.25236771552571685,0.15088190547884114,-0.3975240595049654,Bear,assembly
Bear_education_Alvaro,0.1537095724935447,0.8919459820248605,0.7714462102825702,23.813953488372093,0.6596568082348508,0.40392179463356775,0.8341484250615444,1.4735683373708244,0.08691672752980303,0.6951575058331827,0.7958485166442538,0.23574654222776226,0.9465070749177824,0.06145107686315109,0.9553823137452315,0.0694359505655272,0.5176574266277725,0.09002792540388903,0.2813687799704105,0.11247391646934986,0.7175963401214095,0.7392418629741231,0.3005309418058248,-0.5669273412825069,0.6075023374419055,0.004452054794520548,0.042812874636407566,16.0,0.2456397356511087,0.07490215509455889,0.07731510684987407,0.0997895452122367,-0.11548298062770554,0.11553884753251614,-0.013982341908598787,Bear,education
Bear_education_Augusta,0.48337734947744304,0.7029152162964712,0.9043394411232009,23.813953488372093,0.5105969930313538,0.44615885316685283,0.5635242070039891,2.851275878807035,0.41341347776885845,0.2189477334252542,0.8549271066549504,0.8081477749941541,0.5687941408265459,0.5263482913787776,0.8503291912464618,0.2775365284574665,0.5136512767409409,0.09331161453640337,0.02367501599326584,0.04698772529712215,0.8121678772438211,0.5442983810697216,0.8155573369714539,-0.9874843360397239,1.285428031676911,0.0043378995433789955,0.056805183010811014,35.0,0.14677592388167143,0.04542246769126079,0.06805809164654764,0.08503080232115913,-0.1128254498465322,0.10559518846237026,0.10683913390518383,Bear,education
