building_id,nan_frac_2016,recurrence_level,recurrence_band24,ac_divergence,trend_shift,drift_fired,p2_class
Bear_assembly_Angel,0.35,-0.02184093969579952,-0.1507986980628007,0.1838395686562421,0.0547615825117247,True,TRUE_DRIFT
Bear_assembly_Beatrice,0.0,0.4383277117411595,0.40000453202087877,0.1724448262918294,0.1109317838155891,True,TRUE_DRIFT
Bear_assembly_Danial,0.606,,,0.1568286388591744,0.091253612082523,True,UNKNOWN_2016
Bear_assembly_Genia,0.007,0.8126521840253412,0.07981667780838696,0.0941665903418763,0.1441086868672874,False,STABLE
Bear_assembly_Harry,0.687,,,0.0313751730750032,0.0433941430424304,False,STABLE
Bear_assembly_Jose,0.0,0.8353998896410679,0.21445610848054222,0.0539349532680182,0.0885779529374638,False,STABLE
Bear_assembly_Roxy,0.024,0.4744611253785526,0.3793895791408949,0.2636749181853112,0.304128879873318,True,TRUE_DRIFT
Bear_assembly_Ruby,0.0,0.477508259784825,0.4212516404711871,0.147574259244656,0.0961878267096623,False,STABLE
Bear_education_Alvaro,0.001,0.3793592267994888,0.4256879923841854,0.0749021550945588,0.077315106849874,False,STABLE
Bear_education_Augusta,0.001,0.38101638057188386,0.8028488033535871,0.0454224676912607,0.0680580916465476,False,STABLE
Bear_education_Austin,0.0,0.7184282243991981,0.5195605371644733,0.0809685221535271,0.0301617647681124,False,STABLE
Bear_education_Babara,0.008,0.4363001730238852,0.10195951962264693,0.2477181000160562,0.0146353557500247,True,TRUE_DRIFT
Bear_education_Benita,0.0,0.3471460027929205,-0.14455930139703815,0.2222173797589517,0.0740315997364932,True,TRUE_DRIFT
Bear_education_Bob,0.0,0.869317672094532,0.7796331223283359,0.0651908531070944,0.0490436653169202,False,STABLE
Bear_education_Bulah,0.0,0.36106985336495656,0.11640265993386137,0.0643376104335811,0.0872170350882939,False,STABLE
Bear_education_Carlo,0.625,,,0.102348014124727,0.1154242150659403,False,STABLE
Bear_education_Chad,0.003,0.5025271065957038,0.20183231778301494,0.0760211724519104,0.0339364101496497,False,STABLE
Bear_education_Chana,0.0,0.8483714449898028,0.624005318843397,0.0749363203481537,0.00206328441939,False,STABLE
Bear_education_Chun,0.0,0.3940487330771713,0.29896186140546005,0.0798052797251841,0.191388453505568,True,TRUE_DRIFT
Bear_education_Clint,0.001,0.5537096860935805,-0.004227246637985111,0.0345579221483741,0.0448652145811959,False,STABLE
Bear_education_Curtis,0.001,0.36097643797196965,0.28908580406472323,0.0576669622905329,0.0538099963745956,False,STABLE
Bear_education_Danna,0.0,0.8825646597613295,0.8380231351257271,0.0844739949936772,0.0362305448378579,False,STABLE
Bear_education_Darrell,0.0,0.5572495441301278,0.46662578157857393,0.1065666173860853,0.2197396426626714,True,RECURRING_SEASONAL
Bear_education_Deena,0.001,0.7567968153976515,0.5295354615704945,0.0421201624396635,0.0054361354658717,False,STABLE
Bear_education_Derek,0.002,-0.1368318494392935,0.31705469479683657,0.2048590919637747,0.0281887455404929,True,TRUE_DRIFT
Bear_education_Destiny,0.18,0.6598504190078143,0.32938052001383816,0.0590056123939866,0.0955345429412622,False,STABLE
Bear_education_Elise,0.0,0.48777220261823157,0.561554622664062,0.0428122415930991,0.0136085547179596,False,STABLE
Bear_education_Fannie,0.029,0.41630668496409284,0.35042285430876824,0.4103759239710752,0.0287931618056147,True,TRUE_DRIFT
Bear_education_Gavin,0.001,-0.050502380542714796,0.7518843469241988,0.0186546555134283,0.0084681840441785,False,STABLE
Bear_education_Herb,0.0,0.7034438303215879,0.5710571408121143,0.1205747247051487,0.0405182818111867,False,STABLE
Bear_education_Irene,0.0,0.32589728616533953,-0.039433275527400044,0.2487416826774215,0.0503703779356891,True,TRUE_DRIFT
Bear_education_Iris,0.0,0.6197168258881849,0.6580031048307645,0.0242293738960047,0.1192908382662168,False,STABLE
Bear_education_Katy,0.0,0.7117286308202558,0.06651057504088151,0.00959307366121,0.0829086524831495,False,STABLE
Bear_education_Lashanda,0.0,0.623665453684756,0.5373733924573195,0.085991321063677,0.0442045815787374,False,STABLE
Bear_education_Laurette,0.006,0.29344038196538563,0.2943512574491499,0.5231048203858518,0.0020943034027904,True,TRUE_DRIFT
Bear_education_Leonel,0.0,0.6515854074346464,0.24962292161813723,0.1175981225473742,0.0661986448964402,False,STABLE
Bear_education_Lewis,0.0,0.6531711771489527,0.23077941945385047,0.0573473793103519,0.0083363142750577,False,STABLE
Bear_education_Lidia,0.0,0.8514742403555396,0.6408523398258918,0.0276739673292527,0.119495525544027,False,STABLE
Bear_education_Lila,0.0,0.08467200749625477,0.40234515656939246,0.0124842910500508,0.0283400933327582,False,STABLE
Bear_education_Liliana,0.151,0.8377151179400755,0.16252571736437055,0.1238203836628116,0.0570164704328746,False,STABLE
Bear_education_Lorie,0.001,0.2659745971585218,0.19493309759702168,0.0219292603083695,0.0328864005812504,False,STABLE
Bear_education_Mara,0.035,0.46758784430096895,0.09636376307103632,0.0818185914155354,0.0044169180744426,False,STABLE
Bear_education_Marie,0.0,0.7365905945884104,0.8355574522890137,0.0278736158663304,0.0787441483816603,False,STABLE
Bear_education_Marsha,0.0,0.4343176802853853,0.7734743984701741,0.0205761431350502,0.0241610213174825,False,STABLE
Bear_education_Marta,0.0,0.8320704884857517,0.7978709438833734,0.0273841207237631,0.0025346497660473,False,STABLE
Bear_education_Maryjane,0.0,0.5397144027015766,0.33083084048409167,0.0570619018138942,0.1272391169540258,False,STABLE
Bear_education_Merrill,0.353,0.6129802685541056,0.6656355671318623,0.063964164845463,0.0204247375494586,False,STABLE
Bear_education_Nanette,0.182,0.5749507035742247,0.4319240601037795,0.012219619991304,0.0567023467858508,False,STABLE
Bear_education_Oscar,0.0,0.4815354329168707,0.640573751974417,0.0713433325748554,0.1573149924915759,False,STABLE
Bear_education_Owen,0.0,0.8233483560299252,0.7199138649716978,0.0691416912271458,0.0251337640181257,False,STABLE
Bear_education_Paola,0.0,0.22526360015146835,0.21266128432162795,0.0478714677147334,0.0393825063960169,False,STABLE
Bear_education_Patricia,0.0,0.7049012652763138,0.26243054293329204,0.0333271412056801,0.0239903000022986,False,STABLE
Bear_education_Pattie,0.0,0.7129155867186695,0.0853176506576865,0.0963302555624489,0.1631984700413806,True,RECURRING_SEASONAL
Bear_education_Rebecca,0.001,0.3303705953550026,0.08658259632225798,0.0947296658661928,0.0400728986565775,False,STABLE
Bear_education_Sandy,0.005,-0.007378146895209134,0.5170763815965657,0.1040656916445286,0.0834060035493925,False,STABLE
Bear_education_Santos,0.0,0.7935732321809282,0.8750866987729701,0.0380500066581614,0.0270774895333516,False,STABLE
Bear_education_Sharon,0.0,0.11383713594005217,0.0827838580078359,0.0519863822359799,0.0241491088778858,False,STABLE
Bear_education_Shelley,0.0,0.7212977565179867,0.8889114271466639,0.0343130382319398,0.060750669204181,False,STABLE
Bear_education_Tara,0.0,0.546776358512451,0.31962932521668536,0.1457082642444618,0.1658259890956949,True,RECURRING_SEASONAL
Bear_education_Thuy,0.0,0.5822821038409228,0.5447369996830826,0.0351537167103584,0.0666852315417034,False,STABLE
Bear_education_Val,0.0,0.4020798687064661,0.255325903019494,0.0191809199564135,0.037492868951443,False,STABLE
Bear_education_Wade,0.0,0.02663870398736053,-0.044499787151530426,0.3076897596213245,0.1713585831719966,True,TRUE_DRIFT
Bear_education_Wilton,0.001,0.44358150663427126,0.05734163204776097,0.0625400143207802,0.0776691602326518,False,STABLE
Bear_education_Wm,0.0,0.7247518411716215,0.5558480142825074,0.0604706031279255,0.048336433709627,False,STABLE
Bear_education_Yuri,0.0,0.772937140652991,0.8054930837408063,0.0673253239080576,0.0948528161369744,False,STABLE
Bear_education_Yvette,0.0,0.5550121372568988,0.6644060057352245,0.1165267659818027,0.1051823900597783,False,STABLE
Bear_education_Zandra,0.001,-0.44777483539925084,0.43716323191131323,0.45143910161007,0.0927157834753287,True,TRUE_DRIFT
Bear_lodging_Dannie,0.001,0.9117001220892228,0.46576633936748946,0.0344115106463402,0.0909670558842046,False,STABLE
Bear_lodging_Erick,0.0,0.6557832549809801,0.15163813823566097,0.0520507445233493,0.1237970161719241,False,STABLE
Bear_lodging_Esperanza,0.621,,,0.0685722739128619,0.0186181549952455,False,STABLE
Bear_lodging_Evan,0.0,0.9031071343775866,0.5977183256425774,0.0512287593128484,0.004705695931364,False,STABLE
Bear_parking_Bridget,0.651,,,0.1239560000120232,0.0921341383651748,False,STABLE
Bear_parking_Bruce,0.004,0.5916944699642545,0.6730117129272486,0.582733171473893,0.0615759023982558,True,RECURRING_SEASONAL
Bear_public_Arlean,0.238,0.3402182731335227,0.21693526118933398,0.0748805876840256,0.1842922839368879,True,TRUE_DRIFT
Bear_public_Jocelyn,0.0,0.4019812856964129,0.6256273680109026,0.070413399105679,0.0004779832835811,False,STABLE
